date,lastSyncTime,steps,distance,runDistance,calories
2020-07-20,1599428262,8457,6741,1717,285
2020-07-21,1599428257,9470,6920,250,240
2020-07-22,1599428258,6015,4628,157,171
2020-07-23,1599428257,7796,5780,116,198
2020-07-24,1599428261,7890,5849,202,204
2020-07-25,1599428260,18077,13668,289,475
2020-07-26,1599428259,5397,4073,158,149
2020-07-27,1599428254,7261,5597,140,202
2020-07-28,1599428255,5362,3966,102,137
2020-07-29,1599428255,7708,5760,208,203
2020-07-30,1599428256,6958,5206,182,184
2020-07-31,1599428258,4965,3668,191,134
2020-08-01,1599428259,3864,2852,87,103
2020-08-02,1599428256,1520,1089,104,44
2020-08-03,1599428259,4692,3508,158,128
2020-08-04,1599428258,5563,4241,202,153
2020-08-05,1599428264,6319,5130,1736,228
2020-08-06,1599428264,7076,5264,172,184
2020-08-07,1599428265,4621,3293,158,115
2020-08-08,1599428265,20619,15283,328,525
2020-08-09,1599428264,19078,14317,199,494
2020-08-10,1599428262,14432,10850,174,386
2020-08-11,1599428263,15991,11983,330,413
2020-08-12,1599428263,19859,14962,264,521
2020-08-13,1599428268,17020,12638,299,436
2020-08-14,1599428269,3183,2392,159,87
2020-08-15,1599428265,17741,13046,153,442
2020-08-16,1599428267,7936,5818,171,205
2020-08-17,1599428268,17258,12815,322,438
2020-08-18,1599428267,7651,5570,270,197
2020-08-19,1599428262,5033,3628,267,134
2020-08-20,1599428269,5819,4318,169,154
2020-08-21,1599428269,10208,7742,363,276
2020-08-22,1599428266,20346,14794,246,496
2020-08-23,1599428263,9926,7359,327,256
2020-08-24,1599428272,9111,7248,140,280
2020-08-25,1599428270,5716,4337,175,160
2020-08-26,1599428271,3454,2653,172,101
2020-08-27,1599428270,6626,5529,2572,281
2020-08-28,1599428271,6824,5490,757,230
2020-08-29,1599428274,10773,8099,311,283
2020-08-30,1599428275,4911,3696,146,135
2020-08-31,1599428273,9133,7211,2146,309
2020-09-01,1599428272,5560,4343,1147,188
2020-09-02,1599428273,4872,3832,1194,162
2020-09-03,1599428272,7625,5896,261,209
2020-09-04,1599428275,5150,3747,332,135
2020-09-05,1599428273,11550,8792,290,318
2020-09-06,1599634642,14017,10356,472,368
2020-09-07,1599634641,7879,6178,1365,253
2020-09-08,1599634639,5691,4335,97,163
2020-09-09,1601493292,2511,1853,102,67
